stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,media_pub_country,media_pub_state,media_language,media_about_country,media_media_type
"680954697","2017-08-27 21:37:22","The Trump Organization was reportedly pursuing a deal in Moscow during the election","http://feedproxy.google.com/~r/businessinsider/~3/HXfdiKstjsE/trump-org-and-felix-sater-pursuing-deal-in-moscow-during-election-2017-8","en","False","politics and government, finances, crime and criminals, ethics, frauds and swindling","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"670763196","2016-10-19 11:04:06","Trumpâ€™s SoHo Project Was Co-Financed by Dirty Kazakh Money, FT says","http://fortune.com/2016/10/19/trump-soho-kazakh-money-laundering/","en","False","politics and government, finances, ethics, banks and banking, frauds and swindling","1095","CNN","http://www.cnn.com/","United States","GA, USA","English","United States","Video Broadcast"
"692204602","2017-07-20 00:00:00","Mueller has expanded the Russia probe to include Trump's business dealings â€” here's what he's looking at","http://www.businessinsider.com/mueller-russia-investigation-trump-business-follow-money-2017-7","en","False","politics and government, finances, elections, ethics, frauds and swindling, organized crime","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"692866876","2017-05-04 17:50:29","What American Television Should Tell You About Donald Trumpâ€™s Ties To Russia | HuffPost","http://www.huffingtonpost.com/entry/what-the-american-television-should-tell-you-about_us_590ba121e4b056aa2363d331?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter#618143282-tw#1497847040971","en","False","politics and government, finances, ethics, frauds and swindling","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"577357552","2017-02-06 17:12:00","How To Get Back A Lost $10BN: One Bank's Tale In Europe's Biggest Alleged Fraud","http://www.forbes.com/sites/andrewcave/2017/02/06/how-to-get-back-a-lost-10bn-one-banks-tale-in-europes-biggest-alleged-fraud/","en","False","finances, suits and litigation, ethics, banks and banking, frauds and swindling, bankruptcies","1104","Forbes","http://www.forbes.com/","United States","","English","United States","Print Native"
"737303996","2017-12-05 07:00:01","Robert Mueller subpoenas Trump info at Deutsche Bank","http://www.nydailynews.com/news/world/robert-mueller-subpoenas-trump-info-deutsche-bank-article-1.3678229","en","False","politics and government, finances, ethics, banks and banking, frauds and swindling","8","Daily News","http://www.nydailynews.com/","United States","NY, USA","English","United States","Print Native"
"600783505","2017-03-29 06:09:00","Trump's business network reached alleged Russian mobsters","http://www.cnbc.com/2017/03/29/trumps-business-network-reached-alleged-russian-mobsters.html","en","False","politics and government, suits and litigation, ethics, frauds and swindling, bribery","1755","CNBC","http://www.cnbc.com/","United States","","English","United States","Video Broadcast"
"806003655","2017-08-28 19:00:52","Meet Felix Sater, the man at the heart of the latest Russia-Trump development","http://www.newsweek.com/felix-sater-russia-trump-putin-656059?utm_campaign=NewsweekTwitter&utm_source=Twitter&utm_medium=Social","en","False","politics and government, finances, united states politics and government, biographical information","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"731178328","2017-11-23 13:42:36","The Trump Organization is set to distance itself from one of its biggest headaches in the Russia probe","http://feedproxy.google.com/~r/businessinsider/~3/DFnynSFwBjs/trump-org-to-cut-ties-with-trump-soho-developed-with-sater-bayrock-2017-11","en","False","politics and government, finances, united states politics and government, elections, ethics","18710","Business Insider","http://www.businessinsider.com","United States","","English","United States","Digital Native"
"650119747","2017-06-29 13:08:15","The Many Investigations Into Trump Business Partners","http://www.huffingtonpost.com/entry/trump-business-partners-investigations_us_59540f65e4b05c37bb7bbbdb?ncid=inblnkushpmg00000009","en","False","politics and government, finances, crime and criminals, ethics, frauds and swindling, bribery","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"960591979","2017-07-06 15:06:23","Trump associate Felix Sater is set to help in an international laundering probe","https://www.newsweek.com/trump-russia-felix-sater-real-estate-632690","en","False","politics and government, finances, crime and criminals, frauds and swindling","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"752069574","2017-12-21 07:04:00","Trump SoHo signs come down at newly christened Dominick Hotel","http://feeds.nydailynews.com/~r/nydnrss/sports/basketball/nets/~3/-nNU_buuTQw/trump-soho-signs-newly-christened-dominick-hotel-article-1.3712668","en","False","hotels and motels","8","Daily News","http://www.nydailynews.com/","United States","NY, USA","English","United States","Print Native"
"858191995","2018-04-25 05:58:40","Trump associate received at least $21M in alleged oligarch scheme","http://feeds.nydailynews.com/~r/NydnRss/~3/NxAK0qj4Yrw/trump-associate-received-21m-alleged-oligarch-scheme-article-1.3953189","en","False","politics and government, finances, united states politics and government, ethics, banks and banking, frauds and swindling, embezzlement","8","Daily News","http://www.nydailynews.com/","United States","NY, USA","English","United States","Print Native"
"779706600","2018-01-24 17:09:18","Mueller follows the money trail","http://www.washingtonpost.com/blogs/right-turn/wp/2018/01/24/bogus-conspiracies-and-a-bona-fide-money-trail/","en","False","politics and government, united states politics and government, armament, defense and military forces, terrorism, crime and criminals","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"761878687","2018-01-04 03:29:52","Kushner probe to 'get down deep in his s--t' on Russia: Bannon","http://feeds.nydailynews.com/~r/nydnrss/sports/basketball/nets/~3/97-Gvk6F0iU/kushner-probe-deep-s-russia-bannon-article-1.3736673","en","False","politics and government, finances, religion and churches, jews, ethics, banks and banking","8","Daily News","http://www.nydailynews.com/","United States","NY, USA","English","United States","Print Native"
"541320853","2016-11-14 17:40:41","Donald Trump's Conflicts Of Interest Are A Swamp Unto Themselves","http://www.huffingtonpost.com/2016/11/14/donald-trump-conflicts-of-interest_n_12970136.html","en","False","politics and government, finances, united states politics and government","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"536675992","2016-11-03 12:30:00","Kenneth F. McCallion: Trump real estate built on corruption","http://www.nydailynews.com/opinion/kenneth-f-mccallion-trump-real-estate-built-corruption-article-1.2856797","en","False","politics and government, finances, banks and banking, economic conditions and trends","8","Daily News","http://www.nydailynews.com/","United States","NY, USA","English","United States","Print Native"
"904150065","2017-12-11 00:00:00","A Former Kazakh Bank Chairman Is Accused of Embezzling Billions. Did Some of It Find Its Way to Trump SoHo?","https://www.bloomberg.com/news/features/2017-12-11/was-trump-soho-used-to-hide-part-of-a-kazakh-bank-s-missing-billions","en","False","politics and government, finances, banks and banking, frauds and swindling","40944","Bloomberg","http://bloomberg.com","United States","","English","United States","Digital Native"
"769002495","2018-01-12 14:36:50","Secret Money ðŸ’°","https://www.buzzfeed.com/thomasfrank/secret-money-how-trump-made-millions-selling-condos-to","en","False","finances, housing","6218","Buzzfeed","http://www.buzzfeed.com","United States","","English","none","Digital Native"
"694951306","2017-03-20 08:03:42","Here Are The Four Basic Questions About Trump And Russia We Still Need Answered | HuffPost","http://www.huffingtonpost.com/entry/four-basic-questions-about-trump-and-russia_us_58ced25de4b0ec9d29dcd601","en","False","politics and government, united states politics and government, elections, news and news media, international relations","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"600510924","2017-03-28 01:05:04","Trump's business network reached alleged Russian mobsters","http://rssfeeds.usatoday.com/~/285599700/0/usatoday-newstopstories~Trumps-business-network-reached-alleged-Russian-mobsters/","en","False","finances, crime and criminals, organized crime","64866","USAToday","http://usatoday.com/","United States","Ohio, United States","English","United States","Print Native"
"693517600","2017-09-20 18:47:23","Oligarch family in Trump Russia dealings sells New York apartment","http://www.nydailynews.com/news/national/oligarch-family-trump-russia-dealings-sells-new-york-apartment-article-1.3509744","en","False","politics and government, ethics, biographical information, housing","8","Daily News","http://www.nydailynews.com/","United States","NY, USA","English","United States","Print Native"
"841045271","2018-04-05 08:34:36","Here are the oligarchs connected to Trump and his campaign","http://feeds.nydailynews.com/~r/NydnRss/~3/rnwsXnKMrJs/oligarchs-connected-trump-campaign-article-1.3915846","en","False","politics and government, recordings (audio)","8","Daily News","http://www.nydailynews.com/","United States","NY, USA","English","United States","Print Native"
"878152298","2018-05-18 05:45:06","A Comprehensive List Of Everything Don Jr. Doesn't Know About That Infamous Meeting","https://www.huffingtonpost.com/entry/everything-donald-trump-jr-doesnt-know-about-meeting_us_5afc5fd4e4b0779345d52258","en","False","politics and government, crime and criminals, biographical information","27502","Huffington Post","http://www.huffingtonpost.com/#","United States","","English","United States",""
"653314992","2017-07-06 10:50:06","The Daily 202: Principled conservatives show federalism is more than a talking point by rejecting voter data requests","https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2017/07/06/daily-202-principled-conservatives-show-federalism-is-more-than-a-talking-point-by-rejecting-voter-data-requests/595d5566e9b69b7071abca8d/","en","False","politics and government, law and legislation, finances, united states politics and government, budgets and budgeting, elections, presidents and presidency (us), election issues","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
"1058660563","2018-07-26 17:39:33","Corruption case begins against Kazakh couple that allegedly laundered money through Trump Tower","https://www.newsweek.com/corruption-case-begins-against-kazakh-couple-allegedly-laundered-money-1044008?amp=1&__twitter_impression=true","en","False","politics and government, finances, crime and criminals, ethics, banks and banking, frauds and swindling, mayors, embezzlement","2","Washington Post","http://washingtonpost.com","United States","DC, USA","English","United States","Print Native"
